OBJECTID,target_fid,fid_1,fid_1_1,cust_num,decription,corp_name,trade_name,name,address,renewal_pe,addrid,score,addrerr,geoid,store_id,matchaddr,objectid_12,objectid_1,objectid_2,objectid_12_13,type,type_other,storeopen,namechg,totalads,ad_menthol,ad_lcc,ad_detach,price_any,price_low,price_bran,price_bra0,price_open,price_pack,price_spec,tax_ext,promo_ext_,promo_ext0,promo_ext1,adlevel_ex,ageofsale,registers,tobacco_an,lowprice,price_bra1,price_bra2,open_brand,special_lo,tax_lowpri,promo_int_,promo_int0,promo_int1,adlevel_in,sell_new,place_new,ads_new,pricead_ne,special_ne,taxad_new,pricenoad2,taxnoad_ne,promoad_ne,promoad_n0,promoad_n1,single_lcc,typesingle,typesingl0,typesingl1,place_sing,pack_lcc,typepack_l,typepack_0,typepack_1,place_lccp,sell_lcc,place_lcc,ads_lcc,pricead_lc,special_lc,taxad_lcc,countad_lc,typead_lcc,typead_lc0,typead_lc1,pricenoad0,taxnoad_lc,countnoad_,typenoad_l,typenoad_0,typenoad_1,promoad_lc,promoad_l0,promoad_l1,x,y,store_ido,store_id_1,objectid_12_13_14,cust_num_1,id,sequence,random,mar_addrnu,mar_stname,mar_street,mar_quadra,mar_city,mar_state,mar_zipcod,mar_ward,x_1,y_1,intptlat00,intptlon00,bkgpidfp00,fips,marid,id1,date_,type_1,product,note_,locked,sign,loosie,address_1,mar_census,eligible,inspected,sale,age,idrequest,cohort,outlet_id,dup1,maridlong
1,336,539,719,67002851,GENERAL SALES, ,DAILY 14,CHOL  SIM,1135 14TH ST NW  WASHINGTON DC 20005,5/1/2011 Thru 4/30/2013,307381,100, ,110010101001,336,1135 14TH STREET NW,179,177.000000000000000,175.000000000000000,172.000000000000000,News stand or kiosk (no exterior walls), , , ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, ,0.000000000000000, , , ,0.000000000000000, , , , , , , ,Less than three,Yes,0.000000000000000, , , , , ,No,No,No, ,Yes,Behind counter or register,No,0.000000000000000, , ,8.500000000000000,No,No,No,No,No, , , , ,No, , , , ,No, , ,0.000000000000000, , ,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000, , , , , , ,-77.031700130000004,38.904899600000000,1777.000000000000000,336,395,67002851.000000000000000,1778.000000000000000,126.000000000000000,226.000000000000000,1135.000000000000000,14TH,STREET,NW,WASHINGTON,DC,20005.000000000000000,Ward 2,397251.219999999970000,137448.090000000000000,38.902106000000003,77.030383000000000,110010051000.000000000000000,110010051000000.000000000000000,307381.000000000000000,66.000000000000000,7/22/10 0:00:00,Carry Out/Convenience,Cigarettes,Newport,0.000000000000000,1.000000000000000,0.000000000000000,1135 14TH STREET NW,51.000000000000000,1.000000000000000,1.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,10.000000000000000,2011066.000000000000000, ,307381
2,337,548,1074,70101572,GENERAL SALES,DISTRICT OF COLUMBIA CVS PHARMACY LLC,CVS#1341, ,1199 VERMONT AVE NW  WASHINGTON DC 20005,3/1/2010 Thru 2/29/2012,278914,100, ,110010101001,337,1199 VERMONT AVENUE NW,280,278.000000000000000,276.000000000000000,275.000000000000000,Convenience, ,Open now, ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,No,0.000000000000000, , , ,0.000000000000000, , ,No,No,No,No advertising,Yes,Three or more,Yes,6.000000000000000,Non-Menthol,Marlboro, ,No,No,No,No,No,Moderate advertising,Yes,Behind counter or register,Yes,6.219999790000000,No,No,0.000000000000000, ,No,No,No,No, , , , ,Yes,Yes,No,Yes,Behind counter or register,Yes,Behind counter or register,Yes,4.989999770000000, ,No,5.000000000000000,Yes,No,Yes,0.000000000000000, ,0.000000000000000, , , ,No,No,No,-77.032402039999994,38.904399869999999,1784.000000000000000,337,397,39607225.000000000000000,1768.000000000000000,126.000000000000000,226.000000000000000,1199.000000000000000,VERMONT,AVENUE,NW,WASHINGTON,DC,20005.000000000000000,Ward 2,397192.179999999990000,137395.970000000000000,38.902106000000003,77.030383000000000,110010051000.000000000000000,110010051000000.000000000000000,278914.000000000000000,147.000000000000000,7/23/10 0:00:00,Drug Store/Pharmacy,Cigarettes, ,0.000000000000000,1.000000000000000,0.000000000000000,1199 VERMONT AVENUE NW,51.000000000000000,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,10.000000000000000,2011147.000000000000000, ,278914
3,339,535,539,65004517,GENERAL SALES, ,JIN'S NEWS & NECESSITIES,SUK JIN  SEO,1099 14TH ST NW  WASHINGTON DC 20005,8/1/2009 Thru 7/31/2011,278809,100, ,110010101001,339,1099 14TH STREET NW,250,248.000000000000000,247.000000000000000,246.000000000000000,Convenience, ,Open now, ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,No,0.000000000000000, , , ,0.000000000000000, , ,No,No,No,No advertising,No,Less than three,Yes,0.000000000000000, , , , , ,No,No,No,No advertising,Yes,Behind counter or register,No,0.000000000000000, , ,10.949999810000000,No,No,No,No,No, , , , ,No, , , , ,No, , ,0.000000000000000, , ,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000, , , , , , ,-77.031700130000004,38.903400419999997,1773.000000000000000,339,394,65004517.000000000000000,1774.000000000000000,126.000000000000000,226.000000000000000,1099.000000000000000,14TH,STREET,NW,WASHINGTON,DC,20005.000000000000000,Ward 2,397251.859999999990000,137280.679999999990000,38.902106000000003,77.030383000000000,110010051000.000000000000000,110010051000000.000000000000000,278809.000000000000000,65.000000000000000,7/22/10 0:00:00,Carry Out/Convenience,Cigarettes,Newport,0.000000000000000,1.000000000000000,0.000000000000000,1099 14TH STREET NW,51.000000000000000,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,10.000000000000000,2011065.000000000000000, ,278809
4,342,542,829,68003657,GENERAL SALES, , ,OLUBUNMI COMFORT  OLUDIPE,1220 L ST NW  WASHINGTON DC 20005,6/1/2010 Thru 5/31/2012,240921,100, ,110010101001,342,1220 L STREET NW,1049,1049.000000000000000,1049.000000000000000,1049.000000000000000,Other,http://www.posselink.org/surveys/file/2835,Business has different name,http://www.posselink.org/surveys/file/2836,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,No,0.000000000000000, , , ,0.000000000000000, , ,No,No,No,No advertising,No,Less than three,No,0.000000000000000, , , , , , , , , , , , ,0.000000000000000, , ,0.000000000000000, , , , , , , , , , , , , , , , , ,0.000000000000000, , ,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000, , , , , , ,-77.029098509999997,38.903400419999997,1781.000000000000000,342,389,69004960.000000000000000,1783.000000000000000,126.000000000000000,226.000000000000000,1220.000000000000000,L,STREET,NW,WASHINGTON,DC,20005.000000000000000,Ward 2,397472.049999999990000,137281.070000000010000,38.902106000000003,77.030383000000000,110010051000.000000000000000,110010051000000.000000000000000,240921.000000000000000,23.000000000000000,7/14/09 0:00:00,Carry Out/Convenience,Cigarettes,Newports,0.000000000000000,0.000000000000000,0.000000000000000,1220 L STREET NW,51.000000000000000,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,9.000000000000000,0.000000000000000, ,240921
5,343,541,819,68002459,GENERAL SALES,1101 K STREET RESTAURANT LLC,1101 K STREET RESTAURANT LLC, ,1101 K ST NW  WASHINGTON DC 20005,4/1/2010 Thru 3/31/2012,300315,100, ,110010101001,343,1101 K STREET NW,843,842.000000000000000,837.000000000000000,837.000000000000000,Other,http://www.posselink.org/surveys/file/2832,Closed now, ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,No,0.000000000000000, , , ,0.000000000000000, , ,No,No,No,No advertising,No, , ,0.000000000000000, , , , , , , , , , , , ,0.000000000000000, , ,0.000000000000000, , , , , , , , , , , , , , , , , ,0.000000000000000, , ,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000, , , , , , ,-77.027397160000007,38.902900699999996,1779.000000000000000,343,393,68002459.000000000000000,1780.000000000000000,126.000000000000000,226.000000000000000,1101.000000000000000,K,STREET,NW,WASHINGTON,DC,20005.000000000000000,Ward 2,397622.039999999980000,137223.170000000010000,38.902106000000003,77.030383000000000,110010051000.000000000000000,110010051000000.000000000000000,300315.000000000000000,104.000000000000000,7/20/10 0:00:00,Carry Out/Convenience,Cigarettes,Newport,0.000000000000000,1.000000000000000,0.000000000000000,1101 K STREET NW,51.000000000000000,1.000000000000000,1.000000000000000,0.000000000000000,1.000000000000000,1.000000000000000,10.000000000000000,2011104.000000000000000, ,300315
6,4,336,915,69001136,GENERAL SALES,RONBO INC,BEAUTY DELY, ,3013 GEORGIA AVE NW  WASHINGTON DC 20010,2/1/2009 Thru 1/31/2011,229484,100, ,110010032004,4,3013 GEORGIA AVENUE NW,1045,1045.000000000000000,1045.000000000000000,1045.000000000000000,Convenience, ,No longer in business at location, ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, ,0.000000000000000, , , ,0.000000000000000, , , , , , , , , ,0.000000000000000, , , , , , , , , , , , ,0.000000000000000, , ,0.000000000000000, , , , , , , , , , , , , , , , , ,0.000000000000000, , ,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000, , , , , , ,-77.022903439999993,38.928600310000000,1626.000000000000000,4,318,69001136.000000000000000,1626.000000000000000,84.000000000000000,183.000000000000000,3013.000000000000000,GEORGIA,AVENUE,NW,WASHINGTON,DC,20001.000000000000000,Ward 1,398010.729999999980000,140081.329999999990000,38.928950000000000,77.020679000000001,110010032000.000000000000000,110010032000000.000000000000000,229484.000000000000000,37.000000000000000,7/16/10 0:00:00,Carry Out/Convenience,Cigarettes,Newport,0.000000000000000,1.000000000000000,0.000000000000000,3013 GEORGIA AVENUE NW,32.000000000000000,1.000000000000000,1.000000000000000,0.000000000000000,1.000000000000000,1.000000000000000,10.000000000000000,2011037.000000000000000, ,229484
7,7,351,254,41001884,GENERAL SALES,WABI CORPORATION INC,WINDOWS CAFE & MARKET, ,101 RHODE ISLAND AVE NW  WASHINGTON DC 20001,8/1/2010 Thru 7/31/2012,227422,100, ,110010033012,7,101 RHODE ISLAND AVENUE NW,82,149.000000000000000,148.000000000000000,146.000000000000000,Convenience, ,Open now, ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,No,0.000000000000000, , , ,0.000000000000000, , ,No,No,No,No advertising,No,Less than three,Yes,0.000000000000000, , , , , ,No,No,No,Very little advertising,Yes,Behind counter or register,No,0.000000000000000, , ,8.350000380000001,No,No,No,No,No, , , , ,No, , , , ,No, , ,0.000000000000000, , ,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000, , , , , , ,-77.012397770000007,38.915901179999999,1483.000000000000000,7,240,41001884.000000000000000,1483.000000000000000,86.000000000000000,140.000000000000000,101.000000000000000,RHODE ISLAND,AVENUE,NW,WASHINGTON,DC,20001.000000000000000,Ward 5,398926.510000000010000,138673.530000000000000,38.916882999999999,77.011925000000005,110010033000.000000000000000,110010033000000.000000000000000,227422.000000000000000,7.000000000000000,7/21/09 0:00:00,Carry Out/Convenience,Cigars,Back&Mild,0.000000000000000,0.000000000000000,0.000000000000000,101 RHODE ISLAND AVENUE NW,33.009999999999998,1.000000000000000,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,9.000000000000000,0.000000000000000, ,227422
8,10,360,1227,71102138,GENERAL SALES,NARA  INCORPORATED,BLOOMINGDALE LIQUORS, ,1836 1ST ST NW  WASHINGTON DC 20001,3/1/2011 Thru 2/28/2013,279430,100, ,110010033021,10,1836 1ST STREET NW,539,530.000000000000000,521.000000000000000,515.000000000000000,Liquor, ,Open now, ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,No,0.000000000000000, , , ,0.000000000000000, , ,No,No,No,No advertising,Yes,Less than three,Yes,6.130000110000000,Non-Menthol,Newport, ,Yes,Yes,No,No,No,Moderate advertising,Yes,Behind counter or register,Yes,7.579999920000000,Yes,Yes,0.000000000000000, ,No,No,No,Yes,Yes,No,Yes,Behind counter or register,Yes,Yes,No,Yes,Behind counter or register,Yes,Behind counter or register,No,0.000000000000000, , ,0.000000000000000, , , ,5.500000000000000,No,5.000000000000000,Yes,No,Yes,No,No,No,-77.012397770000007,38.915401459999998,1642.000000000000000,10,327,71102138.000000000000000,1642.000000000000000,88.000000000000000,188.000000000000000,1836.000000000000000,1ST,STREET,NW,WASHINGTON,DC,20001.000000000000000,Ward 5,398925.530000000030000,138616.090000000000000,38.914889000000002,77.011465999999999,110010033000.000000000000000,110010033000000.000000000000000,279430.000000000000000,232.000000000000000,7/27/10 0:00:00,Liquor Store,Cigarettes,Newport,0.000000000000000,1.000000000000000,0.000000000000000,1836 1ST STREET NW,33.020000000000003,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,10.000000000000000,2011232.000000000000000, ,279430
9,11,359,774,67006364,GENERAL SALES,SAMMY  LLC,DC MINI MARKET, ,1828 1ST ST NW  WASHINGTON DC 20001,11/1/2009 Thru 10/31/2011,218526,100, ,110010033021,11,1828 1ST STREET NW,586,573.000000000000000,564.000000000000000,558.000000000000000,Convenience, ,Open now, ,2.000000000000000,0.000000000000000,2.000000000000000,1.000000000000000,No,0.000000000000000, , , ,0.000000000000000, , ,No,No,No,Moderate advertising,Yes,Less than three,Yes,5.570000170000000,Menthol,Maverick, ,Yes,Yes,No,No,No,Moderate advertising,Yes,Behind counter or register,Yes,7.750000000000000,Yes,Yes,0.000000000000000, ,No,No,No,Yes,Yes,No,Yes,On counter or in checkout lanes,Yes,Yes,No,Yes,Behind counter or register,Yes,Behind counter or register,No,0.000000000000000, , ,0.000000000000000, , , ,0.649999980000000,No,1.000000000000000,Yes,No,Yes,No,No,Yes,-77.012397770000007,38.915100099999997,1641.000000000000000,11,326,67006364.000000000000000,1641.000000000000000,88.000000000000000,188.000000000000000,1828.000000000000000,1ST,STREET,NW,WASHINGTON,DC,20001.000000000000000,Ward 5,398925.310000000000000,138585.920000000010000,38.914889000000002,77.011465999999999,110010033000.000000000000000,110010033000000.000000000000000,218526.000000000000000,231.000000000000000,7/27/10 0:00:00,Carry Out/Convenience,Cigarettes,Newport,0.000000000000000,1.000000000000000,0.000000000000000,1828 1ST STREET NW,33.020000000000003,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,10.000000000000000,2011231.000000000000000, ,218526
10,14,363,938,69003167,GENERAL SALES, ,LE DROIT PARK MARKET,ELLA  TOOMBS,1901 4TH ST NW  WASHINGTON DC 20001,4/1/2009 Thru 3/31/2011,229783,100, ,110010034001,14,1901 4TH STREET NW,1004,1004.000000000000000,1004.000000000000000,1004.000000000000000,Grocery, ,No longer in business at location, ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, ,0.000000000000000, , , ,0.000000000000000, , , , , , , , , ,0.000000000000000, , , , , , , , , , , , ,0.000000000000000, , ,0.000000000000000, , , , , , , , , , , , , , , , , ,0.000000000000000, , ,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000, , , , , , ,-77.017196659999996,38.916099549999998,1220.000000000000000,14,114,69003167.000000000000000,1220.000000000000000,91.000000000000000,61.000000000000000,1901.000000000000000,4TH,STREET,NW,WASHINGTON,DC,20001.000000000000000,Ward 1,398505.929999999990000,138687.899999999990000,38.917723000000002,77.016073000000006,110010034000.000000000000000,110010034000000.000000000000000,229783.000000000000000,20.000000000000000,7/19/10 0:00:00,Carry Out/Convenience,Cigarettes,Newport,0.000000000000000,1.000000000000000,0.000000000000000,1901 4TH STREET NW,34.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,10.000000000000000,2011020.000000000000000, ,229783
